int(self),self.nb_agents,self.nb_infected_init,self.infection_rate,self.infection_distance,self.recovery_time,self.nb_recovered,self.cycle
0,200,6,0.315,11,43,200,80
1,200,39,0.765,9,158,200,165
2,200,47,0.275,11,186,200,200
3,200,44,0.865,14,171,200,177
4,200,41,0.595,18,192,200,194
5,200,50,0.965,18,68,200,70
6,200,38,0.355,19,14,200,16
7,200,12,0.125,8,77,200,195
8,200,29,0.825,16,28,200,30
9,200,20,0.095,16,182,200,194
10,200,37,0.005,12,18,87,75
11,200,18,0.505,6,102,200,206
12,200,35,0.385,11,177,200,187
13,200,6,0.375,10,131,200,150
14,200,36,0.395,12,106,200,111
15,200,26,0.545,1,35,51,110
16,200,19,0.205,5,190,197,715
17,200,11,0.535,9,52,200,63
18,200,44,0.895,9,58,200,61
19,200,22,0.415,1,10,27,17
20,200,4,0.225,17,156,200,162
21,200,48,0.405,14,140,200,144
22,200,3,0.295,8,85,200,161
23,200,3,0.115,10,83,200,129
24,200,31,0.805,7,81,200,128
25,200,11,0.445,15,161,200,165
26,200,49,0.905,15,114,200,116
27,200,7,0.515,13,30,200,35
28,200,1,0.755,19,87,200,92
29,200,33,0.145,3,54,130,178
30,200,14,0.845,19,194,200,196
31,200,4,0.185,5,116,196,617
32,200,35,0.285,1,22,42,42
33,200,46,0.055,4,196,193,703
34,200,21,0.105,7,138,199,324
35,200,45,0.435,2,75,160,372
36,200,19,0.955,18,94,200,96
37,200,45,0.565,19,16,200,18
38,200,34,0.235,6,163,199,284
39,200,16,0.745,13,184,200,189
40,200,13,0.475,10,73,200,102
41,200,8,0.915,15,41,200,44
42,200,37,0.835,14,12,200,15
43,200,32,0.855,7,146,199,179
44,200,43,0.945,5,167,200,237
45,200,17,0.255,12,154,200,163
46,200,15,0.245,16,39,200,43
47,200,47,0.265,8,142,200,177
48,200,29,0.195,14,175,200,184
49,200,14,0.685,2,150,192,937
50,200,17,0.365,17,20,200,24
51,200,22,0.875,20,60,200,62
52,200,21,0.655,4,64,186,176
53,200,30,0.815,4,173,200,337
54,200,5,0.485,20,137,200,140
55,200,27,0.635,10,152,200,166
56,200,36,0.025,3,100,97,426
57,200,34,0.525,18,125,200,128
58,200,13,0.305,14,198,200,210
59,200,8,0.795,9,110,200,155
60,200,1,0.695,1,127,1,128
61,200,24,0.925,6,26,181,61
62,200,40,0.495,9,188,200,213
63,200,46,0.675,19,89,200,91
64,200,24,0.985,11,148,200,152
65,200,23,0.885,15,129,200,132
66,200,5,0.165,4,31,25,92
67,200,9,0.645,17,62,200,64
68,200,23,0.175,16,49,200,53
69,200,7,0.155,17,93,200,100
70,200,18,0.325,2,119,170,543
71,200,50,0.605,5,135,200,216
72,200,43,0.065,8,66,200,186
73,200,40,0.215,7,24,188,62
74,200,2,0.455,20,79,200,82
75,200,41,0.615,13,37,200,40
76,200,39,0.015,15,104,200,173
77,200,20,0.625,18,70,200,73
78,200,25,0.335,6,169,200,349
79,200,9,0.705,3,96,135,408
80,200,25,0.665,2,117,182,434
81,200,2,0.995,3,180,194,710
82,200,27,0.045,2,108,79,483
83,200,28,0.425,1,200,179,979
84,200,38,0.135,20,165,200,171
85,200,32,0.785,11,98,200,133
86,200,48,0.975,8,112,200,165
87,200,42,0.035,12,51,200,91
88,200,10,0.775,12,121,200,125
89,200,26,0.935,16,47,200,49
90,200,15,0.085,3,133,141,762
91,200,12,0.735,13,72,200,75
92,200,49,0.585,10,56,200,62
93,200,30,0.075,6,159,200,312
94,200,42,0.345,17,144,200,147
95,200,31,0.555,7,45,200,68
96,200,28,0.465,13,91,200,95
97,200,16,0.725,4,33,151,169
98,200,33,0.715,20,123,200,125
99,200,10,0.575,5,179,200,416
